Code;Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
29.00;Darius;Fighter;TOP;God;83.96;16.49;0.50;0.96;0.07;0.15;1.87
30.00;Diana;Fighter;JUNGLE;God;82.96;44.71;0.51;0.84;0.12;0.13;2.49
31.00;Diana;Fighter;MID;A;49.05;4.03;0.53;0.15;0.02;0.13;2.20
32.00;Dr. Mundo;Marksman;TOP;S;62.73;-2.08;0.52;0.92;0.04;0.03;2.26
33.00;Draven;Fighter;ADC;B;46.38;-4.53;0.51;0.96;0.06;0.12;2.16
34.00;Ekko;Assassin;JUNGLE;A;55.93;-1.56;0.50;0.64;0.06;0.04;2.74
35.00;Ekko;Assassin;MID;A;46.78;0.91;0.50;0.33;0.03;0.04;2.24
36.00;Elise;Mage;JUNGLE;B;40.59;-3.10;0.49;0.95;0.02;0.02;2.56
37.00;Evelynn;Assassin;JUNGLE;A;48.04;-1.54;0.50;0.99;0.03;0.09;2.94
38.00;Ezreal;Marksman;ADC;God;75.98;1.83;0.49;0.97;0.20;0.05;2.39
39.00;Fiddlesticks;Mage;JUNGLE;B;46.01;-1.29;0.51;0.92;0.03;0.03;2.68
40.00;Fiora;Fighter;TOP;S;75.08;4.32;0.50;0.98;0.06;0.11;1.76
41.00;Fizz;Assassin;MID;A;52.25;1.44;0.51;0.96;0.04;0.05;2.46
42.00;Galio;Tank;MID;A;46.86;0.84;0.50;0.63;0.02;0.01;2.71
43.00;Galio;Tank;SUPPORT;C;36.89;-1.30;0.49;0.34;0.01;0.01;2.35
44.00;Gangplank;Fighter;TOP;S;65.59;14.31;0.48;0.87;0.06;0.04;1.99
45.00;Gangplank;Fighter;MID;C;36.57;3.40;0.49;0.13;0.01;0.04;2.23
46.00;Garen;Fighter;TOP;S;73.99;15.67;0.52;0.87;0.06;0.02;2.10
47.00;Gnar;Fighter;TOP;A;47.10;4.58;0.50;0.98;0.03;0.01;2.01
48.00;Gragas;Fighter;TOP;C;37.47;-2.35;0.49;0.40;0.02;0.00;2.24
49.00;Gragas;Fighter;JUNGLE;C;36.10;-7.55;0.48;0.41;0.02;0.00;2.70
50.00;Gragas;Fighter;SUPPORT;D;32.15;-2.55;0.48;0.12;0.00;0.00;2.25
51.00;Graves;Marksman;JUNGLE;S;59.84;-9.95;0.49;0.67;0.08;0.09;2.58
52.00;Graves;Marksman;TOP;B;42.78;-7.19;0.49;0.26;0.03;0.09;1.72
53.00;Gwen;Fighter;TOP;A;54.66;13.03;0.50;0.83;0.04;0.02;1.73
54.00;Gwen;Fighter;JUNGLE;C;38.68;5.74;0.51;0.13;0.01;0.02;2.36
55.00;Hecarim;Fighter;JUNGLE;S;71.27;12.91;0.51;0.99;0.09;0.08;3.02
56.00;Heimerdinger;Mage;MID;C;35.89;-1.34;0.49;0.36;0.01;0.01;1.96
57.00;Heimerdinger;Mage;ADC;C;34.01;-1.93;0.52;0.16;0.00;0.01;2.23
58.00;Heimerdinger;Mage;SUPPORT;C;33.85;-1.74;0.50;0.10;0.00;0.01;1.83
59.00;Heimerdinger;Mage;TOP;D;24.16;-8.38;0.49;0.39;0.01;0.01;1.65
60.00;Illaoi;Fighter;TOP;C;34.11;-3.45;0.49;0.92;0.02;0.03;1.49
61.00;Irelia;Fighter;TOP;God;81.35;-5.02;0.49;0.60;0.06;0.24;1.58
62.00;Irelia;Fighter;MID;A;48.07;-1.08;0.48;0.39;0.04;0.24;1.75
63.00;Ivern;Support;JUNGLE;C;38.83;1.46;0.48;0.85;0.01;0.00;3.41
64.00;Janna;Support;SUPPORT;A;51.92;-3.82;0.51;0.95;0.05;0.01;3.00
65.00;Jarvan IV;Tank;JUNGLE;A;54.92;4.21;0.51;0.93;0.04;0.01;3.37
66.00;Jax;Fighter;TOP;God;82.16;3.63;0.51;0.86;0.07;0.11;1.63
67.00;Jax;Fighter;JUNGLE;C;34.70;-5.49;0.49;0.13;0.01;0.10;2.13
68.00;Jayce;Fighter;TOP;S;73.56;-5.02;0.49;0.75;0.07;0.04;1.78
69.00;Jayce;Fighter;MID;B;39.29;-2.30;0.49;0.24;0.02;0.04;2.05
70.00;Jhin;Marksman;ADC;God;94.23;3.23;0.51;0.99;0.25;0.06;3.01
71.00;Jinx;Marksman;ADC;God;86.76;-1.22;0.51;1.00;0.22;0.07;2.43
72.00;Kai'Sa;Marksman;ADC;God;75.52;10.50;0.49;0.98;0.19;0.06;2.42
73.00;Kalista;Marksman;ADC;D;31.51;-0.06;0.49;0.91;0.02;0.00;2.30
74.00;Karma;Mage;SUPPORT;S;63.43;6.96;0.49;0.92;0.10;0.03;2.73
75.00;Karthus;Mage;ADC;B;42.26;-1.65;0.55;0.21;0.01;0.03;2.23
76.00;Karthus;Mage;MID;B;42.13;3.77;0.53;0.12;0.00;0.03;2.19
77.00;Karthus;Mage;JUNGLE;B;39.58;0.60;0.49;0.58;0.02;0.03;2.45
78.00;Kassadin;Assassin;MID;A;58.16;-7.74;0.51;0.97;0.05;0.14;2.49
79.00;Katarina;Assassin;MID;S;61.99;-0.88;0.50;0.95;0.07;0.10;2.29
80.00;Kayle;Fighter;TOP;A;48.25;-5.26;0.51;0.73;0.03;0.01;1.80
81.00;Kayle;Fighter;MID;B;40.73;-8.21;0.51;0.26;0.01;0.01;2.28
82.00;Kayn;Fighter;JUNGLE;S;69.12;1.38;0.50;0.98;0.10;0.12;2.41
83.00;Kennen;Mage;MID;B;40.40;-1.04;0.51;0.15;0.00;0.01;2.37
84.00;Kennen;Mage;TOP;C;35.49;0.47;0.49;0.84;0.02;0.01;1.98
85.00;Kha'Zix;Assassin;JUNGLE;S;60.25;-2.33;0.50;0.99;0.07;0.07;2.47
86.00;Kindred;Marksman;JUNGLE;B;46.69;-1.77;0.50;0.92;0.04;0.02;2.26
87.00;Kled;Fighter;MID;A;48.84;0.00;0.55;0.10;0.00;0.01;2.70
88.00;Kled;Fighter;TOP;B;40.27;-4.86;0.50;0.88;0.02;0.01;2.32
89.00;Kog'Maw;Marksman;ADC;B;39.80;-2.80;0.53;0.89;0.02;0.00;2.21
90.00;LeBlanc;Assassin;MID;A;59.14;-1.18;0.49;0.95;0.06;0.12;2.82
91.00;Lee Sin;Fighter;JUNGLE;God;91.89;0.28;0.48;0.97;0.15;0.16;2.82
92.00;Leona;Tank;SUPPORT;S;65.44;-0.99;0.50;0.99;0.10;0.14;2.34
93.00;Lillia;Fighter;JUNGLE;B;42.51;-1.69;0.49;0.85;0.03;0.01;2.66
94.00;Lillia;;TOP;D;24.34;-9.25;0.49;0.11;0.00;0.01;1.96
95.00;Lissandra;Mage;MID;A;47.29;1.22;0.51;0.91;0.03;0.01;2.41
96.00;Lucian;Marksman;ADC;A;48.48;-7.70;0.49;0.86;0.09;0.03;2.25
97.00;Lulu;Support;SUPPORT;God;93.56;0.75;0.51;0.98;0.14;0.26;3.12
98.00;Lux;Mage;SUPPORT;God;82.29;-6.67;0.50;0.68;0.15;0.12;2.53
99.00;Lux;Mage;MID;S;66.92;-0.90;0.51;0.29;0.06;0.12;2.97
100.00;Malphite;Tank;TOP;S;67.63;5.41;0.51;0.75;0.05;0.04;2.41
101.00;Malphite;Tank;MID;B;40.23;-3.72;0.50;0.12;0.01;0.04;2.40
102.00;Malphite;Tank;SUPPORT;D;29.17;-1.81;0.46;0.11;0.01;0.04;2.05
103.00;Malzahar;Mage;MID;A;49.57;5.18;0.51;0.91;0.03;0.03;2.22
104.00;Maokai;Tank;SUPPORT;B;39.51;-0.65;0.50;0.80;0.01;0.00;2.23
105.00;Maokai;Tank;TOP;D;24.65;-6.31;0.49;0.17;0.00;0.00;2.10
106.00;Master Yi;Assassin;JUNGLE;S;64.59;-3.49;0.50;0.93;0.08;0.19;2.02
107.00;Miss Fortune;Marksman;ADC;A;50.67;-1.80;0.50;0.95;0.09;0.02;2.30
108.00;Mordekaiser;Fighter;TOP;S;65.95;14.48;0.50;0.87;0.05;0.06;1.79
109.00;Morgana;Mage;SUPPORT;S;71.03;-1.92;0.50;0.92;0.09;0.27;2.51
110.00;Nami;Support;SUPPORT;S;73.29;-2.30;0.52;1.00;0.11;0.03;3.24
111.00;Nasus;Fighter;TOP;S;64.96;7.18;0.52;0.85;0.04;0.04;1.98
112.00;Nautilus;Tank;SUPPORT;S;60.25;2.25;0.50;0.98;0.09;0.08;2.32
113.00;Neeko;Mage;MID;C;37.75;0.46;0.49;0.62;0.01;0.00;2.22
114.00;Neeko;Mage;SUPPORT;D;31.53;2.13;0.48;0.23;0.01;0.00;1.95
115.00;Nidalee;Assassin;JUNGLE;A;49.10;-0.37;0.49;0.92;0.04;0.03;2.95
116.00;Nocturne;Assassin;JUNGLE;B;39.71;-6.54;0.48;0.87;0.03;0.03;2.39
117.00;Nunu;Tank;JUNGLE;A;55.47;0.61;0.52;0.90;0.04;0.02;3.04
118.00;Olaf;Fighter;JUNGLE;C;36.61;5.55;0.49;0.85;0.01;0.01;2.45
119.00;Olaf;Fighter;TOP;D;11.03;-6.16;0.45;0.16;0.00;0.01;1.63
120.00;Orianna;Mage;MID;A;47.05;1.97;0.50;0.95;0.03;0.00;2.66
121.00;Ornn;Tank;TOP;A;59.57;4.58;0.51;0.94;0.04;0.00;2.30
122.00;Pantheon;Fighter;MID;B;41.54;-2.49;0.51;0.27;0.01;0.01;2.25
123.00;Pantheon;Fighter;SUPPORT;D;32.78;-2.48;0.47;0.40;0.02;0.01;1.89
124.00;Pantheon;Fighter;TOP;D;30.79;-10.85;0.50;0.27;0.01;0.01;2.10
125.00;Poppy;Tank;JUNGLE;B;41.60;-2.14;0.50;0.48;0.02;0.02;2.65
126.00;Poppy;Tank;TOP;B;39.88;-5.73;0.50;0.43;0.02;0.02;2.14
127.00;Pyke;Support;SUPPORT;S;59.89;-0.91;0.49;0.88;0.09;0.13;2.17
128.00;Qiyana;Assassin;MID;A;56.52;2.17;0.51;0.59;0.05;0.14;2.14
129.00;Qiyana;Assassin;JUNGLE;B;42.89;-0.24;0.49;0.38;0.03;0.14;2.42
130.00;Quinn;Marksman;TOP;C;36.42;-5.78;0.52;0.83;0.01;0.01;1.89
131.00;Rakan;Support;SUPPORT;A;54.12;-1.22;0.51;0.98;0.06;0.00;2.94
132.00;Rammus;Tank;JUNGLE;A;48.15;0.36;0.52;0.93;0.02;0.03;2.90
133.00;Rek'Sai;Fighter;JUNGLE;A;49.57;-0.79;0.51;0.97;0.04;0.03;2.51
134.00;Rell;Tank;SUPPORT;B;42.96;0.27;0.51;0.99;0.02;0.00;2.42
135.00;Renekton;Fighter;TOP;A;50.60;6.84;0.48;0.86;0.04;0.02;1.91
136.00;Renekton;Fighter;MID;B;41.32;3.85;0.52;0.13;0.01;0.02;2.19
137.00;Rengar;Assassin;JUNGLE;B;39.34;3.97;0.48;0.78;0.03;0.03;2.28
138.00;Rengar;Assassin;TOP;D;22.41;-8.95;0.47;0.21;0.01;0.02;1.77
139.00;Riven;Fighter;TOP;S;65.68;6.18;0.51;0.92;0.05;0.02;1.99
140.00;Rumble;Fighter;MID;B;45.65;1.36;0.52;0.38;0.01;0.00;2.64
141.00;Rumble;Fighter;JUNGLE;C;36.12;1.29;0.50;0.14;0.00;0.00;2.82
142.00;Rumble;Fighter;TOP;D;25.32;-2.02;0.48;0.47;0.01;0.00;2.02
143.00;Ryze;Mage;MID;C;35.12;-1.72;0.46;0.82;0.02;0.00;2.15
144.00;Ryze;Mage;TOP;D;14.30;-7.36;0.46;0.16;0.00;0.00;1.74
145.00;Samira;Marksman;ADC;B;44.40;-3.44;0.49;0.98;0.07;0.11;2.19
146.00;Sejuani;Tank;JUNGLE;B;40.92;-8.34;0.48;0.82;0.02;0.00;3.09
147.00;Sejuani;Tank;TOP;D;30.67;-2.66;0.51;0.13;0.00;0.00;2.43
148.00;Senna;Marksman;SUPPORT;B;46.43;-2.70;0.48;0.85;0.05;0.02;2.54
149.00;Senna;Marksman;ADC;C;36.30;-2.53;0.51;0.13;0.01;0.02;2.82
150.00;Seraphine;Mage;ADC;B;45.21;5.14;0.54;0.17;0.01;0.01;3.07
151.00;Seraphine;Mage;MID;B;42.18;-1.79;0.50;0.16;0.01;0.01;2.90
152.00;Seraphine;Mage;SUPPORT;B;39.72;-1.97;0.47;0.67;0.04;0.01;2.47
153.00;Sett;Fighter;TOP;God;90.23;15.56;0.50;0.84;0.08;0.07;1.76
154.00;Shaco;Assassin;JUNGLE;S;62.92;3.87;0.52;0.83;0.06;0.17;2.75
155.00;Shaco;Assassin;SUPPORT;B;43.50;3.21;0.52;0.14;0.01;0.17;2.44
156.00;Shen;Tank;TOP;God;88.45;20.45;0.53;0.88;0.06;0.02;2.98
157.00;Shyvana;Fighter;JUNGLE;C;35.87;-5.10;0.49;0.83;0.01;0.00;2.45
158.00;Shyvana;Fighter;TOP;D;23.83;-11.61;0.50;0.13;0.00;0.00;1.88
159.00;Singed;Tank;TOP;B;39.17;-0.57;0.51;0.77;0.02;0.00;2.04
160.00;Sion;Tank;TOP;A;52.81;4.16;0.51;0.84;0.04;0.01;1.63
161.00;Sivir;Marksman;ADC;B;39.74;1.71;0.51;0.98;0.03;0.00;2.53
162.00;Skarner;Fighter;JUNGLE;C;33.16;-7.62;0.48;0.76;0.01;0.00;2.76
163.00;Skarner;Fighter;TOP;D;23.89;-6.83;0.49;0.22;0.00;0.00;2.22
164.00;Sona;Support;SUPPORT;A;57.27;-2.71;0.53;0.98;0.05;0.01;2.98
165.00;Soraka;Support;SUPPORT;S;62.15;-1.48;0.52;0.97;0.07;0.04;2.79
166.00;Swain;Mage;MID;B;44.02;4.28;0.52;0.11;0.00;0.02;2.67
167.00;Swain;Mage;ADC;B;41.33;2.36;0.53;0.21;0.01;0.02;2.85
168.00;Swain;Mage;SUPPORT;B;40.06;-1.79;0.49;0.62;0.03;0.02;2.24
169.00;Sylas;Mage;MID;A;58.98;0.78;0.50;0.75;0.07;0.04;2.14
170.00;Sylas;Mage;TOP;C;33.03;-5.81;0.48;0.21;0.02;0.04;1.86
171.00;Syndra;Mage;MID;A;49.27;2.47;0.49;0.90;0.04;0.01;2.26
172.00;Tahm Kench;Support;TOP;God;91.80;21.07;0.51;0.93;0.06;0.16;2.60
173.00;Taliyah;Mage;SUPPORT;B;42.40;2.15;0.54;0.15;0.00;0.00;2.10
174.00;Taliyah;Mage;MID;C;38.86;0.00;0.50;0.17;0.00;0.00;2.47
175.00;Taliyah;Mage;JUNGLE;C;36.79;-5.52;0.49;0.65;0.01;0.00;2.61
176.00;Talon;Assassin;JUNGLE;S;61.20;-11.56;0.50;0.74;0.06;0.22;2.41
177.00;Talon;Assassin;MID;B;43.48;1.37;0.49;0.25;0.02;0.22;2.17
178.00;Taric;Support;SUPPORT;B;42.25;5.02;0.51;0.89;0.01;0.00;2.82
179.00;Teemo;Marksman;TOP;S;62.74;-5.25;0.49;0.84;0.05;0.10;1.71
180.00;Thresh;Support;SUPPORT;S;69.49;-2.82;0.49;0.99;0.12;0.06;2.57
181.00;Tristana;Marksman;ADC;B;40.29;-0.82;0.49;0.87;0.05;0.02;2.24
182.00;Tristana;Marksman;MID;C;35.10;0.00;0.49;0.10;0.00;0.02;2.00
183.00;Trundle;Fighter;JUNGLE;A;55.13;1.44;0.53;0.63;0.04;0.03;2.84
184.00;Trundle;Fighter;TOP;B;44.04;3.38;0.53;0.31;0.02;0.03;1.83
185.00;Tryndamere;Fighter;TOP;God;76.60;11.36;0.51;0.83;0.06;0.13;1.89
186.00;Tryndamere;Fighter;MID;C;38.31;-6.63;0.50;0.13;0.01;0.13;2.09
187.00;Twisted Fate;Mage;MID;A;49.57;-0.72;0.49;0.95;0.04;0.01;2.34
188.00;Twitch;Marksman;ADC;A;50.77;1.31;0.52;0.81;0.07;0.04;2.42
189.00;Udyr;Fighter;JUNGLE;C;36.98;-5.24;0.49;0.95;0.02;0.01;2.55
190.00;Urgot;Fighter;TOP;S;63.91;13.10;0.53;0.96;0.04;0.02;2.00
191.00;Varus;Marksman;ADC;D;31.43;-1.14;0.48;0.92;0.02;0.00;2.30
192.00;Vayne;Marksman;ADC;S;72.55;-10.08;0.52;0.86;0.14;0.22;2.19
193.00;Vayne;Marksman;TOP;B;41.86;-10.49;0.51;0.13;0.02;0.22;1.53
194.00;Veigar;Mage;MID;A;46.97;-4.80;0.49;0.71;0.04;0.01;2.26
195.00;Veigar;Mage;ADC;C;36.29;-0.33;0.52;0.14;0.01;0.01;2.40
196.00;Veigar;Mage;SUPPORT;D;31.56;0.56;0.48;0.13;0.01;0.01;2.02
197.00;Vel'Koz;Mage;MID;B;45.01;-1.07;0.51;0.42;0.01;0.01;2.67
198.00;Vel'Koz;Mage;SUPPORT;B;39.16;-1.85;0.49;0.56;0.02;0.01;2.17
199.00;Vex;Mage;MID;God;76.85;10.71;0.51;0.85;0.09;0.19;2.48
200.00;Vex;Mage;SUPPORT;D;30.31;-6.68;0.46;0.13;0.01;0.19;1.99
201.00;Vi;Fighter;JUNGLE;A;58.46;-3.59;0.52;0.94;0.06;0.03;2.45
202.00;Viego;Assassin;JUNGLE;God;82.48;0.59;0.50;0.95;0.13;0.14;2.46
203.00;Viktor;Mage;MID;God;81.46;-0.14;0.51;0.85;0.11;0.16;2.35
204.00;Viktor;Mage;TOP;C;37.59;-11.51;0.50;0.13;0.02;0.16;1.88
205.00;Vladimir;Mage;MID;A;55.71;5.34;0.52;0.74;0.04;0.06;2.45
206.00;Vladimir;Mage;TOP;C;32.87;-6.05;0.49;0.24;0.01;0.06;2.03
207.00;Volibear;Fighter;JUNGLE;B;39.63;1.84;0.49;0.42;0.02;0.01;2.50
208.00;Volibear;Fighter;TOP;D;32.21;-8.58;0.46;0.56;0.03;0.01;1.79
209.00;Warwick;Fighter;JUNGLE;A;52.78;-3.57;0.50;0.74;0.06;0.06;2.25
210.00;Warwick;Fighter;TOP;D;31.35;-7.37;0.49;0.25;0.01;0.06;1.94
211.00;Wukong;Fighter;TOP;B;43.24;-1.75;0.51;0.79;0.02;0.01;2.12
212.00;Wukong;Fighter;JUNGLE;C;32.92;-4.87;0.49;0.14;0.00;0.01;2.54
213.00;Xayah;Marksman;ADC;B;40.54;1.61;0.51;0.99;0.04;0.01;2.37
214.00;Xerath;Mage;MID;A;53.25;5.16;0.51;0.38;0.03;0.06;3.17
215.00;Xerath;Mage;SUPPORT;A;49.68;-5.49;0.50;0.56;0.05;0.06;2.54
216.00;Xin Zhao;Fighter;JUNGLE;A;57.04;1.14;0.50;0.96;0.07;0.04;2.44
217.00;Yasuo;Fighter;MID;God;86.16;-0.04;0.50;0.71;0.12;0.24;1.74
218.00;Yasuo;Fighter;TOP;B;39.96;-14.89;0.48;0.16;0.03;0.24;1.45
219.00;Yasuo;Fighter;ADC;C;34.41;-3.91;0.51;0.12;0.02;0.24;1.95
220.00;Yone;Assassin;MID;S;74.16;-7.47;0.48;0.61;0.09;0.27;1.84
221.00;Yone;Assassin;TOP;S;71.87;-20.17;0.48;0.38;0.05;0.27;1.58
222.00;Yorick;Fighter;TOP;B;46.07;-0.42;0.51;0.97;0.03;0.02;1.65
223.00;Yuumi;Support;SUPPORT;God;79.72;-2.67;0.48;0.99;0.11;0.29;4.11
224.00;Zac;Tank;JUNGLE;A;57.82;-0.01;0.51;0.85;0.04;0.02;3.61
225.00;Zed;Assassin;MID;God;90.50;-0.27;0.51;0.67;0.09;0.42;2.31
226.00;Zed;Assassin;JUNGLE;A;49.18;-5.06;0.49;0.30;0.03;0.42;2.47
227.00;Ziggs;Mage;ADC;B;43.63;-0.16;0.54;0.69;0.02;0.01;2.51
228.00;Ziggs;Mage;MID;C;36.44;-0.60;0.48;0.25;0.01;0.01;2.36
229.00;Zilean;Support;MID;A;52.20;1.35;0.54;0.14;0.01;0.01;3.46
230.00;Zilean;Support;SUPPORT;A;49.44;1.68;0.51;0.82;0.03;0.01;3.03
231.00;Zoe;Mage;MID;A;49.77;4.62;0.50;0.94;0.04;0.01;2.58
232.00;Zyra;Mage;SUPPORT;A;49.55;1.74;0.52;0.92;0.04;0.02;2.13
233.00;Aatrox;Fighter;TOP;A;48.45;-2.02;0.50;0.57;0.04;0.08;2.38
234.00;Ahri;Mage;MID;A;48.44;-2.03;0.50;0.57;0.04;0.08;2.38
235.00;Akali;Assassin;MID;S;48.42;-2.05;0.50;0.57;0.04;0.08;2.38
236.00;Akali;Assassin;TOP;A;48.41;-2.06;0.50;0.57;0.04;0.08;2.38
237.00;Akshan;Marksman;MID;S;48.40;-2.08;0.50;0.57;0.04;0.08;2.38
238.00;Akshan;Marksman;TOP;A;48.38;-2.09;0.50;0.57;0.04;0.08;2.38
239.00;Alistar;Tank;SUPPORT;B;48.37;-2.11;0.50;0.57;0.04;0.08;2.38
240.00;Amumu;Tank;JUNGLE;B;48.36;-2.12;0.50;0.57;0.04;0.08;2.38
241.00;Amumu;Tank;SUPPORT;C;48.34;-2.14;0.50;0.57;0.04;0.08;2.38
242.00;Anivia;Mage;MID;A;48.33;-2.15;0.50;0.57;0.04;0.08;2.38
243.00;Anivia;Mage;SUPPORT;D;48.32;-2.17;0.50;0.56;0.04;0.08;2.38
244.00;Annie;Mage;MID;A;48.30;-2.18;0.50;0.56;0.04;0.08;2.38
245.00;Aphelios;Marksman;ADC;C;48.29;-2.20;0.50;0.56;0.04;0.08;2.38
246.00;Ashe;Marksman;ADC;B;48.28;-2.21;0.50;0.56;0.04;0.08;2.38
247.00;Aurelion Sol;Mage;MID;B;48.26;-2.23;0.50;0.56;0.04;0.08;2.38
248.00;Azir;Mage;MID;D;48.25;-2.24;0.50;0.56;0.04;0.08;2.38
249.00;Bard;Support;SUPPORT;A;48.24;-2.26;0.50;0.56;0.04;0.08;2.38
250.00;Blitzcrank;Tank;SUPPORT;S;48.22;-2.27;0.50;0.56;0.04;0.08;2.38
251.00;Brand;Mage;SUPPORT;B;48.21;-2.29;0.50;0.56;0.04;0.08;2.38
252.00;Brand;Mage;MID;B;48.20;-2.30;0.50;0.56;0.04;0.08;2.38
253.00;Braum;Support;SUPPORT;A;48.18;-2.32;0.50;0.56;0.04;0.08;2.39
254.00;Caitlyn;Marksman;ADC;God;48.17;-2.33;0.50;0.56;0.04;0.08;2.39
255.00;Camille;Fighter;TOP;God;48.16;-2.35;0.50;0.56;0.03;0.08;2.39
256.00;Cassiopeia;Mage;MID;B;48.14;-2.36;0.50;0.56;0.03;0.08;2.39
257.00;Cassiopeia;Mage;TOP;D;48.13;-2.38;0.50;0.56;0.03;0.08;2.39
258.00;Cho'Gath;Tank;TOP;A;48.12;-2.39;0.50;0.56;0.03;0.08;2.39
259.00;Cho'Gath;Tank;MID;C;48.10;-2.41;0.50;0.56;0.03;0.08;2.39
260.00;Corki;Marksman;MID;A;48.09;-2.42;0.50;0.55;0.03;0.08;2.39
261.00;Darius;Fighter;TOP;God;48.08;-2.44;0.50;0.55;0.03;0.08;2.39
262.00;Diana;Fighter;JUNGLE;God;48.06;-2.46;0.50;0.55;0.03;0.08;2.39
263.00;Diana;Fighter;MID;A;48.05;-2.47;0.50;0.55;0.03;0.08;2.39
264.00;Dr. Mundo;Marksman;TOP;S;48.04;-2.49;0.50;0.55;0.03;0.08;2.39
265.00;Draven;Fighter;ADC;B;48.02;-2.50;0.50;0.55;0.03;0.08;2.39
266.00;Ekko;Assassin;JUNGLE;A;48.01;-2.52;0.50;0.55;0.03;0.08;2.39
267.00;Ekko;Assassin;MID;A;48.00;-2.53;0.50;0.55;0.03;0.08;2.39
268.00;Elise;Mage;JUNGLE;B;47.98;-2.55;0.50;0.55;0.03;0.08;2.39
269.00;Evelynn;Assassin;JUNGLE;A;47.97;-2.56;0.50;0.55;0.03;0.08;2.39
270.00;Ezreal;Marksman;ADC;God;47.96;-2.58;0.50;0.55;0.03;0.08;2.39
271.00;Fiddlesticks;Mage;JUNGLE;B;47.95;-2.59;0.50;0.55;0.03;0.08;2.39
272.00;Fiora;Fighter;TOP;S;47.93;-2.61;0.50;0.55;0.03;0.08;2.39
273.00;Fizz;Assassin;MID;A;47.92;-2.62;0.50;0.55;0.03;0.08;2.39
274.00;Galio;Tank;MID;A;47.91;-2.64;0.50;0.55;0.03;0.08;2.39
275.00;Galio;Tank;SUPPORT;C;47.89;-2.65;0.50;0.55;0.03;0.08;2.39
276.00;Gangplank;Fighter;TOP;S;47.88;-2.67;0.50;0.55;0.03;0.08;2.39
277.00;Gangplank;Fighter;MID;C;47.87;-2.68;0.50;0.54;0.03;0.08;2.39
278.00;Garen;Fighter;TOP;S;47.85;-2.70;0.50;0.54;0.03;0.08;2.39
279.00;Gnar;Fighter;TOP;A;47.84;-2.71;0.50;0.54;0.03;0.08;2.40
280.00;Gragas;Fighter;TOP;C;47.83;-2.73;0.50;0.54;0.03;0.08;2.40
281.00;Gragas;Fighter;JUNGLE;C;47.81;-2.74;0.50;0.54;0.03;0.08;2.40
282.00;Gragas;Fighter;SUPPORT;D;47.80;-2.76;0.50;0.54;0.03;0.08;2.40
